entry_id,L,AUC,P@K,P@K/2,P@K/5,K
7vq5,800,0.11391221757946315,0.06914893617021277,0.07446808510638298,0.16216216216216217,188
7vwk,500,0.0,0.0,0.0,0.0,65
7vsi,616,0.0,0.0,0.0,0.0,28
7vq7,778,0.07534773329350722,0.06832298136645963,0.075,0.09375,161
7vwb,300,0.07254935900122018,0.02531645569620253,0.05128205128205128,0.06666666666666667,79
7w0w,285,0.0,0.0,0.0,0.0,25
7voj,800,0.09369737425942055,0.07317073170731707,0.08536585365853659,0.1875,164
7w2o,400,0.7402823017722204,0.5,0.7105263157894737,0.8666666666666667,76
7vse,310,0.0,0.0,0.0,0.0,37
7vwt,643,0.0,0.0,0.0,0.0,94
7vxt,182,0.01104256285113435,0.015873015873015872,0.015873015873015872,0.0,126
7vq3,800,0.1083334776804586,0.059782608695652176,0.06521739130434782,0.16666666666666666,184
7w5q,231,0.0,0.0,0.0,0.0,57
7vxr,187,0.006233329616391644,0.016129032258064516,0.0,0.0,124
7wj7,488,0.04173209822689998,0.04201680672268908,0.05084745762711865,0.043478260869565216,119
7vzo,382,0.0,0.0,0.0,0.0,43
7wej,519,0.10755846590973799,0.06643356643356643,0.09090909090909091,0.10526315789473684,286
7w81,361,0.0,0.0,0.0,0.0,19
7vm0,792,0.0,0.0,0.0,0.0,35
7wgu,697,0.0,0.0,0.0,0.0,39
7wet,343,0.2150831243230042,0.16129032258064516,0.1935483870967742,0.3333333333333333,62
7wf9,245,0.06474448135860571,0.047619047619047616,0.07446808510638298,0.05405405405405406,189
7wuy,786,0.3812526651233759,0.26459143968871596,0.3046875,0.5098039215686274,257
7wmv,636,0.0,0.0,0.0,0.0,30
7weu,333,0.2235918536551472,0.12903225806451613,0.1935483870967742,0.3333333333333333,62
7w2q,399,0.3023274162603781,0.17333333333333334,0.2702702702702703,0.4,75
7wj6,485,0.042126802919390194,0.03333333333333333,0.05,0.08333333333333333,120
7wju,607,0.0,0.0,0.0,0.0,51
7wzd,684,0.02851103679683036,0.07865168539325842,0.0,0.0,89
7wn7,493,0.0,0.0,0.0,0.0,61
7wn5,236,0.0648053894349276,0.04878048780487805,0.1,0.0,41
7wvs,785,0.3831847016251734,0.26666666666666666,0.2992125984251969,0.49019607843137253,255
7wsx,806,0.0,0.0,0.0,0.0,129
7wrm,285,0.36487166075606525,0.25842696629213485,0.36363636363636365,0.47058823529411764,89
7xca,420,0.053538410002458285,0.021052631578947368,0.0425531914893617,0.10526315789473684,95
7ww0,786,0.38059008932036265,0.2619047619047619,0.29365079365079366,0.52,252
7wze,309,0.019544296671248983,0.026737967914438502,0.021505376344086023,0.0,187
7x45,244,0.1196616597542409,0.125,0.13636363636363635,0.08571428571428572,176
7xi6,112,0.7795041270449785,0.5901639344262295,0.7213114754098361,0.9166666666666666,122
7xl7,107,0.18515156984580014,0.125,0.16666666666666666,0.3333333333333333,48
7wko,398,0.0,0.0,0.0,0.0,156
7x2p,428,0.08488461370989853,0.034482758620689655,0.07142857142857142,0.2,29
7x53,812,0.039884175000491205,0.05,0.03333333333333333,0.0,60
7xmw,142,0.0,0.0,0.0,0.0,94
7wwo,318,0.028412339795714954,0.019801980198019802,0.04,0.0,101
7x80,290,0.031803376353706475,0.05,0.05,0.0,160
7wrs,798,0.0,0.0,0.0,0.0,90
7xq5,148,0.9729601205426294,0.8333333333333334,1.0,1.0,72
7wup,766,0.16503741670339903,0.18614718614718614,0.1565217391304348,0.15217391304347827,231
7xfs,192,0.030013270746494607,0.05714285714285714,0.0,0.0,35
7x4t,590,0.0,0.0,0.0,0.0,31
7x2y,684,0.026096144507147923,0.07608695652173914,0.0,0.0,92
7x81,286,0.028239309232533878,0.041666666666666664,0.027777777777777776,0.0,144
7xwg,144,0.0,0.0,0.0,0.0,63
7xwe,152,0.01008436414818068,0.02,0.0,0.0,50
7xdu,694,0.2642987636681833,0.1393939393939394,0.21951219512195122,0.36363636363636365,165
7x1x,676,0.03874339875915202,0.07526881720430108,0.043478260869565216,0.0,93
7xgt,543,0.08076385064986319,0.07317073170731707,0.07317073170731707,0.125,82
7xhv,369,0.6520468693887467,0.37662337662337664,0.5974025974025974,0.9,154
7xi3,601,0.4372729775391888,0.21951219512195122,0.37254901960784315,0.5853658536585366,205
7xrb,440,0.0,0.0,0.0,0.0,24
7xky,464,0.009941919539638038,0.027522935779816515,0.018518518518518517,0.0,109
7xt2,776,0.0,0.0,0.0,0.0,280
7xyy,764,0.004466780797412465,0.006535947712418301,0.0,0.0,153
7y3w,856,0.0,0.0,0.0,0.0,39
7y9h,678,0.06643434017661015,0.04838709677419355,0.06451612903225806,0.08333333333333333,62
7xro,410,0.4262546770478511,0.2692307692307692,0.4230769230769231,0.5,104
7xf2,840,0.016544129095950023,0.012605042016806723,0.01680672268907563,0.0425531914893617,238
7yfu,88,0.8115716937611851,0.6470588235294118,0.7647058823529411,1.0,34
7y8s,563,0.0,0.0,0.0,0.0,93
7xz0,772,0.03619974102655622,0.031914893617021274,0.03546099290780142,0.05357142857142857,282
7xw7,794,0.0,0.0,0.0,0.0,51
7y40,427,0.0,0.0,0.0,0.0,21
7y3y,880,0.0,0.0,0.0,0.0,41
7xux,726,0.0,0.0,0.0,0.0,41
7y5y,304,0.0,0.0,0.0,0.0,51
7y0y,370,0.5377143003838663,0.38095238095238093,0.5,0.6875,84
7y0z,385,0.7004243564825295,0.5061728395061729,0.675,0.75,81
7xz1,764,0.024570732101855005,0.025,0.04,0.0,200
7yao,429,0.0,0.0,0.0,0.0,25
7y4s,686,0.0,0.0,0.0,0.0,233
7ygl,362,0.46297480741681707,0.17105263157894737,0.34210526315789475,0.8,76
7yfj,189,0.7358078277270179,0.55,0.7,0.875,40
7y79,383,0.0,0.0,0.0,0.0,41
7y9g,655,0.056986370014815844,0.06349206349206349,0.06451612903225806,0.08333333333333333,63
7ygh,362,0.4828583232852889,0.1917808219178082,0.3888888888888889,0.8571428571428571,73
7y8v,717,0.07420859663275542,0.07462686567164178,0.09090909090909091,0.07692307692307693,67
7yhl,339,0.16520098207842232,0.09375,0.125,0.3333333333333333,64
7yeo,763,0.0,0.0,0.0,0.0,105
7yh2,312,0.22164699555074488,0.15714285714285714,0.2,0.2857142857142857,70
7yni,594,0.0,0.0,0.0,0.0,29
7y8u,718,0.008941519123633206,0.014492753623188406,0.0,0.0,69
7yka,240,0.004224225979405784,0.02564102564102564,0.0,0.0,39
7ytt,138,0.0037822521310742784,0.011904761904761904,0.0,0.0,84
7yii,546,0.0,0.0,0.0,0.0,87
7ytu,128,0.0,0.0,0.0,0.0,84
7ynk,578,0.0,0.0,0.0,0.0,29
7ylq,951,0.004014216594854479,0.01098901098901099,0.0,0.0,91
7y8x,717,0.0,0.0,0.0,0.0,70
7ynj,592,0.0,0.0,0.0,0.0,31
7yp5,838,0.06357261940497703,0.06086956521739131,0.08771929824561403,0.0,115
7yn2,695,0.0,0.0,0.0,0.0,188
7yls,593,0.0012457328316953043,0.009900990099009901,0.0,0.0,101
7z5i,112,0.9888160153113202,0.92,1.0,1.0,50
7z5k,112,0.9931812511693195,0.94,1.0,1.0,50
7yr9,292,0.0,0.0,0.0,0.0,23
7ysk,673,0.2791967197023457,0.24786324786324787,0.22413793103448276,0.34782608695652173,117
7ypd,480,0.03370440383828733,0.032679738562091505,0.039473684210526314,0.03333333333333333,153
7ysl,674,0.2828207711698513,0.23148148148148148,0.2222222222222222,0.38095238095238093,108
7zg6,104,0.9698398724759626,0.8487394957983193,0.9830508474576272,1.0,119
7yun,183,0.0,0.0,0.0,0.0,7
7yra,292,0.0,0.0,0.0,0.0,18
7yuj,299,0.0,0.0,0.0,0.0,69
7zj1,166,0.041449489200910274,0.0784313725490196,0.0,0.0,51
7zlq,164,0.03888266442169334,0.09803921568627451,0.0,0.0,51
7z55,371,0.2148574635560269,0.0761904761904762,0.15384615384615385,0.2857142857142857,105
7z6n,536,0.0,0.0,0.0,0.0,34
7zch,306,0.06441368947447353,0.028985507246376812,0.057971014492753624,0.14814814814814814,138
7z56,361,0.5116896843475007,0.21666666666666667,0.43333333333333335,0.75,60
7zcg,306,0.07184936668532638,0.038461538461538464,0.06153846153846154,0.15384615384615385,130
7zgt,502,0.23890920438859395,0.2,0.2,0.25,60
8a0w,136,0.5900989494485563,0.42857142857142855,0.5806451612903226,0.6666666666666666,63
7z27,334,0.036598014869651974,0.02127659574468085,0.043478260869565216,0.1111111111111111,47
7zoo,247,0.0,0.0,0.0,0.0,34
7zr2,267,0.05616903510657023,0.07051282051282051,0.0641025641025641,0.03225806451612903,156
7zop,252,0.0,0.0,0.0,0.0,34
8a60,739,0.012840006418786739,0.017857142857142856,0.017857142857142856,0.0,112
7zcv,568,0.17146515393912523,0.11737089201877934,0.1792452830188679,0.23809523809523808,213
7zkg,504,0.2036701834282606,0.19672131147540983,0.13333333333333333,0.25,61
8a2g,289,0.0,0.0,0.0,0.0,108
8ada,132,0.2549652484712508,0.14583333333333334,0.2916666666666667,0.3333333333333333,48
8a2f,251,0.0,0.0,0.0,0.0,63
8a1f,705,0.0,0.0,0.0,0.0,98
8a9o,296,0.8425165787237152,0.676829268292683,0.8902439024390244,0.90625,164
8anu,134,0.031549500957840274,0.039603960396039604,0.04,0.05,101
8and,181,0.3680906572000343,0.23636363636363636,0.3170731707317073,0.48484848484848486,165
8ant,159,0.15380130042706414,0.09219858156028368,0.11428571428571428,0.21428571428571427,141
8aep,792,0.0,0.0,0.0,0.0,104
8a3o,636,0.378186196874895,0.23300970873786409,0.35294117647058826,0.55,103
8a82,468,0.0,0.0,0.0,0.0,84
8aa9,356,0.02975473063019735,0.06557377049180328,0.0,0.0,61
8a2n,580,0.0,0.0,0.0,0.0,114
8a9n,299,0.8109114234691963,0.6338797814207651,0.8131868131868132,0.9444444444444444,183
8ag3,322,0.006795449758922523,0.038461538461538464,0.0,0.0,52
8alo,236,0.05115604111119789,0.043478260869565216,0.06521739130434782,0.05555555555555555,92
8ayj,552,0.3966919396400714,0.2824427480916031,0.3076923076923077,0.5,131
8ai6,643,0.0,0.0,0.0,0.0,72
8ahr,542,0.16303384440010707,0.12598425196850394,0.14285714285714285,0.16,127
8aie,551,0.4001148154859349,0.2867647058823529,0.3088235294117647,0.48148148148148145,136
8ai3,640,0.0,0.0,0.0,0.0,65
8arf,193,0.2182413906419969,0.18604651162790697,0.265625,0.2,129
8ako,507,0.0,0.0,0.0,0.0,39
8ai1,637,0.0,0.0,0.0,0.0,70
8bgt,638,0.0,0.0,0.0,0.0,28
8b5s,725,0.0,0.0,0.0,0.0,23
8bir,640,0.41800365967127756,0.3147208121827411,0.41836734693877553,0.48717948717948717,197
8ayk,551,0.4050962998720852,0.3,0.3230769230769231,0.5,130
8b8v,397,0.007409417320205207,0.0125,0.0,0.0,80
8b63,729,0.0,0.0,0.0,0.0,27
8bie,636,0.5221890484135866,0.35135135135135137,0.532608695652174,0.6216216216216216,185
8b3s,387,0.0,0.0,0.0,0.0,72
8b73,810,0.0,0.0,0.0,0.0,51
8c26,123,0.0011795175315081926,0.01694915254237288,0.0,0.0,59
8bij,636,0.5065680751307094,0.3368421052631579,0.49473684210526314,0.631578947368421,190
8brf,282,0.0,0.0,0.0,0.0,65
8b7f,736,0.0,0.0,0.0,0.0,99
8bpt,278,0.0,0.0,0.0,0.0,30
8bbq,645,0.018052078546303772,0.04918032786885246,0.0,0.0,61
8btj,805,0.0,0.0,0.0,0.0,178
8bic,641,0.43821538470195415,0.3212669683257919,0.39090909090909093,0.5454545454545454,221
8bao,735,0.39418856099077715,0.16326530612244897,0.3013698630136986,0.6206896551724138,147
8cbc,904,0.0,0.0,0.0,0.0,39
8c8e,136,0.06905612596615178,0.05982905982905983,0.08620689655172414,0.13043478260869565,117
8btn,337,0.0,0.0,0.0,0.0,112
8bxt,427,0.0,0.0,0.0,0.0,21
8bzr,244,0.0,0.0,0.0,0.0,35
8chw,134,0.7001266307850671,0.5784313725490197,0.7058823529411765,0.8,102
8bve,795,0.4138050870923128,0.27530364372469635,0.3333333333333333,0.4897959183673469,247
8buy,260,0.02398556646753246,0.026490066225165563,0.02666666666666667,0.03333333333333333,151
8c84,183,0.7734407762675525,0.45549738219895286,0.8210526315789474,0.9736842105263158,191
8bvk,439,0.04583603069423569,0.022727272727272728,0.045454545454545456,0.058823529411764705,88
8bv8,424,0.0,0.0,0.0,0.0,34
8ckl,197,0.05971766590216997,0.06040268456375839,0.08108108108108109,0.06896551724137931,149
8clt,611,0.09381501502567546,0.06944444444444445,0.08333333333333333,0.21428571428571427,72
8cf3,502,0.17715638793304983,0.35714285714285715,0.21428571428571427,0.0,28
8chu,283,0.021036997560239565,0.04918032786885246,0.03333333333333333,0.0,61
8clu,615,0.08491812154166564,0.0684931506849315,0.08333333333333333,0.21428571428571427,73
8cil,718,0.018354241631409852,0.03529411764705882,0.023809523809523808,0.0,85
8ckm,205,0.0695245931281982,0.04430379746835443,0.08860759493670886,0.0967741935483871,158
8ceg,407,0.4863875169671553,0.31496062992125984,0.3968253968253968,0.6,127
8cut,337,0.0,0.0,0.0,0.0,37
8ckg,209,0.07081080688827089,0.043478260869565216,0.0875,0.09375,161
8cid,688,0.0,0.0,0.0,0.0,187
8cus,336,0.0,0.0,0.0,0.0,36
8d0c,280,0.0,0.0,0.0,0.0,28
8cqm,451,0.0,0.0,0.0,0.0,23
8cm0,273,0.06494478027375146,0.028037383177570093,0.04672897196261682,0.07142857142857142,214
8czj,591,0.005285071437950414,0.01818181818181818,0.0,0.0,55
8d4i,922,0.20924530464420696,0.16317991631799164,0.2184873949579832,0.2978723404255319,239
8cp3,495,0.12145670699881445,0.07407407407407407,0.08955223880597014,0.18518518518518517,135
8cqo,354,0.0,0.0,0.0,0.0,276
8d0j,280,0.0,0.0,0.0,0.0,32
8d0d,280,0.0,0.0,0.0,0.0,30
8ctk,376,0.0,0.0,0.0,0.0,134
8cwz,338,0.0,0.0,0.0,0.0,40
8cdp,654,0.0,0.0,0.0,0.0,235
8d3z,798,0.0,0.0,0.0,0.0,135
8d0f,280,0.0,0.0,0.0,0.0,30
8d5r,920,0.2087705280568498,0.15057915057915058,0.20155038759689922,0.27450980392156865,259
8d0e,280,0.0,0.0,0.0,0.0,29
8cqn,372,0.0,0.0,0.0,0.0,292
8d88,922,0.2181867200841729,0.1646586345381526,0.22580645161290322,0.32653061224489793,249
8dax,496,0.03673282235458103,0.08045977011494253,0.046511627906976744,0.0,87
8dgg,631,0.0,0.0,0.0,0.0,36
8d0g,279,0.0,0.0,0.0,0.0,27
8dfx,425,0.0,0.0,0.0,0.0,21
8d0i,280,0.0,0.0,0.0,0.0,31
8d0h,280,0.0,0.0,0.0,0.0,32
8cxl,934,0.0,0.0,0.0,0.0,161
8d5d,910,0.205816498011187,0.1638655462184874,0.20168067226890757,0.2765957446808511,238
8dc5,436,0.0,0.0,0.0,0.0,17
8dkq,769,0.12969179404474757,0.08333333333333333,0.16666666666666666,0.14285714285714285,36
8dtq,164,0.4934077225248878,0.3448275862068966,0.41379310344827586,0.6363636363636364,58
8dkp,774,0.10242070746319563,0.05172413793103448,0.10344827586206896,0.09090909090909091,58
8dek,881,0.0,0.0,0.0,0.0,77
8dko,777,0.12470929525368846,0.05454545454545454,0.1111111111111111,0.2727272727272727,55
8dtc,748,0.10733712889486319,0.12307692307692308,0.1076923076923077,0.11538461538461539,130
8dpa,266,0.0004134146762565962,0.0045662100456621,0.0,0.0,219
8dss,191,0.013819678385335838,0.038461538461538464,0.0,0.0,26
8ds6,669,0.0,0.0,0.0,0.0,75
8du5,732,0.08196357597340939,0.025,0.05,0.125,40
8dzj,613,0.0,0.0,0.0,0.0,51
8dye,654,0.0,0.0,0.0,0.0,118
8dl5,809,0.38132084537559796,0.28270042194092826,0.3644067796610169,0.5319148936170213,237
8e8t,806,0.0,0.0,0.0,0.0,8
8ejo,112,0.5129394071455107,0.3333333333333333,0.5,0.75,21
8eab,238,0.16560874794847538,0.12,0.12,0.2,50
8ea6,245,0.14356061038609122,0.06153846153846154,0.09375,0.23076923076923078,65
8ejp,112,0.5219197108361195,0.35,0.5,0.75,20
8eaa,243,0.0939256485667072,0.0821917808219178,0.08333333333333333,0.07142857142857142,73
8ea8,243,0.10773650828285065,0.06976744186046512,0.11627906976744186,0.058823529411764705,86
8e90,924,0.0,0.0,0.0,0.0,72
8ea5,238,0.17862219398391443,0.11475409836065574,0.16666666666666666,0.25,61
8ea9,241,0.12619575461119922,0.15492957746478872,0.11428571428571428,0.14285714285714285,71
8ea7,237,0.1516082809521792,0.1,0.16,0.2,50
8ey4,144,0.014431240620019372,0.01639344262295082,0.03333333333333333,0.0,61
8er5,245,0.03795677855220196,0.023255813953488372,0.047619047619047616,0.0,43
8edi,400,0.0,0.0,0.0,0.0,32
8enf,188,0.6893811204849368,0.45901639344262296,0.6229508196721312,0.9166666666666666,122
8ek4,269,0.0011907889077740215,0.011235955056179775,0.0,0.0,89
8ejv,506,0.4117286210882503,0.215962441314554,0.33962264150943394,0.5476190476190477,213
8f5v,334,0.32279080945604555,0.14150943396226415,0.24528301886792453,0.38095238095238093,106
8eju,511,0.39180035228168175,0.2,0.325,0.5833333333333334,240
8ero,728,0.0,0.0,0.0,0.0,5
8fcf,162,0.9180723392098887,0.8495575221238938,0.9285714285714286,0.9090909090909091,113
8evm,472,0.07693378001214504,0.034722222222222224,0.05555555555555555,0.14285714285714285,144
8erw,509,0.02799132697844769,0.045454545454545456,0.03409090909090909,0.0,176
8ehe,476,0.0,0.0,0.0,0.0,119
8end,189,0.6654583927743145,0.4214876033057851,0.6166666666666667,0.875,121
8es5,292,0.12600293156380504,0.08547008547008547,0.10344827586206896,0.13043478260869565,117
8em1,973,0.32009326139822214,0.16091954022988506,0.23255813953488372,0.47058823529411764,87
8erp,728,0.0,0.0,0.0,0.0,5
8fiq,197,0.0,0.0,0.0,0.0,69
8far,339,0.0,0.0,0.0,0.0,38
8fio,670,0.0,0.0,0.0,0.0,33
8feu,668,0.0,0.0,0.0,0.0,46
8f8f,696,0.662955344778231,0.36774193548387096,0.6363636363636364,0.8709677419354839,155
8fje,272,0.14872038076087574,0.09259259259259259,0.1111111111111111,0.1,54
8fet,668,0.0,0.0,0.0,0.0,43
8fin,347,0.0,0.0,0.0,0.0,70
8fjd,595,0.0,0.0,0.0,0.0,51
8fm6,196,0.0,0.0,0.0,0.0,5
8fex,891,0.0,0.0,0.0,0.0,184
8fev,668,0.0,0.0,0.0,0.0,45
8fvt,192,0.0,0.0,0.0,0.0,10
8few,668,0.0,0.0,0.0,0.0,46
8g93,529,0.8501737391497853,0.6168831168831169,0.8571428571428571,1.0,154
8g0p,241,0.10784088819929678,0.05084745762711865,0.07954545454545454,0.14285714285714285,177
8g9k,400,0.11241613795398098,0.07777777777777778,0.08888888888888889,0.1111111111111111,90
8g3k,285,0.017605847413756457,0.03125,0.0,0.0,32
8gkv,84,0.9521761915457305,0.7894736842105263,0.9642857142857143,1.0,57
8gad,209,0.2970374978814334,0.11428571428571428,0.17647058823529413,0.42857142857142855,35
8g5s,717,0.344826393105997,0.2588996763754045,0.33116883116883117,0.3770491803278688,309
8gpw,794,0.0,0.0,0.0,0.0,43
8gxm,241,0.027622928935024552,0.027777777777777776,0.05555555555555555,0.0,36
8gyg,596,0.3886748605069858,0.24479166666666666,0.3854166666666667,0.4473684210526316,192
8gyh,838,0.035150114657717106,0.03755868544600939,0.02830188679245283,0.047619047619047616,213
8h0r,178,0.7569997630654023,0.509090909090909,0.7407407407407407,1.0,55
8gyx,760,0.0,0.0,0.0,0.0,17
8gyw,760,0.0,0.0,0.0,0.0,15
8gy8,750,0.0,0.0,0.0,0.0,77
8ght,608,0.05199139151499712,0.05504587155963303,0.07407407407407407,0.0,109
8gp6,546,0.010294290896333396,0.008333333333333333,0.016666666666666666,0.0,240
8gyf,427,0.0,0.0,0.0,0.0,21
8gvl,573,0.0,0.0,0.0,0.0,14
8gyi,839,0.5428425821239881,0.30569948186528495,0.53125,0.7631578947368421,193
8gxl,241,0.043936168164930435,0.027777777777777776,0.05555555555555555,0.0,36
8gyz,427,0.008666240725720203,0.009433962264150943,0.018867924528301886,0.0,106
8h2d,278,0.0008650519031141869,0.029411764705882353,0.0,0.0,34
8h56,308,0.00512309160243212,0.013986013986013986,0.0,0.0,143
8guo,248,0.025213423333305177,0.05303030303030303,0.030303030303030304,0.0,132
8h3z,401,0.3175832828768436,0.2184873949579832,0.3050847457627119,0.34782608695652173,119
8hdh,615,0.0,0.0,0.0,0.0,31
8heh,288,0.0,0.0,0.0,0.0,44
